mountain,course,from,to,minutes,source
"栗駒山","須川高原温泉ルート","須川高原温泉","栗駒山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"森吉山","阿仁ゴンドラ山麓駅ルート","阿仁ゴンドラ山麓駅","森吉山","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"森吉山","ブナ帯登山口ルート","ブナ帯登山口","森吉山","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"太平山","旭又登山口ルート","旭又登山口","太平山","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鳥海山","湯ノ台口登山口ルート","湯ノ台口登山口","鳥海山（新山）","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"月山","姥沢 月山リフトルート","姥沢 月山リフト","月山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"摩耶山","越沢口ルート","越沢口","摩耶山","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"以東岳","泡滝ダム・大鳥登山口ルート","泡滝ダム・大鳥登山口","以東岳","390","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大朝日岳","日暮沢登山口駐車場（日暮沢小屋）ルート","日暮沢登山口駐車場（日暮沢小屋）","大朝日岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"船形山","大滝キャンプ場・船形山登山口ルート","大滝キャンプ場・船形山登山口","船形山（御所山）","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"泉ヶ岳","泉ヶ岳大駐車場ルート","泉ヶ岳大駐車場","泉ヶ岳","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"飯豊山","大日杉登山口ルート","大日杉登山口","飯豊山","390","推定CT（固定座標・標高差＋確認済みCT回帰）"
"西吾妻山","天元台ロープウェイ湯元駅ルート","天元台ロープウェイ湯元駅","西吾妻山","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"磐梯山","猪苗代登山口（猪苗代スキー場）ルート","猪苗代登山口（猪苗代スキー場）","磐梯山","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"七ヶ岳","会津高原たかつえスキー場・七ヶ岳登山口ルート","会津高原たかつえスキー場・七ヶ岳登山口","七ヶ岳","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"荒海山","八総鉱山跡・荒海山登山駐車場ルート","八総鉱山跡・荒海山登山駐車場","荒海山（太郎岳）","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"会津朝日岳","赤倉沢登山口ルート","赤倉沢登山口","会津朝日岳","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"燧ヶ岳","御池登山口ルート","御池登山口","燧ヶ岳（柴安嵓）","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"燧ヶ岳","小沢平登山口ルート","小沢平登山口","燧ヶ岳（柴安嵓）","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大滝根山","高塚高原キャンプ場駐車場ルート","高塚高原キャンプ場駐車場","大滝根山","70","推定CT（固定座標・標高差＋確認済みCT回帰）"
"杁差岳","奥胎内ヒュッテ（足ノ松尾根ルート起点）ルート","奥胎内ヒュッテ（足ノ松尾根ルート起点）","杁差岳","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"八海山","八海山スキー場・ロープウェー山麓駅ルート","八海山スキー場・ロープウェー山麓駅","八海山（入道岳）","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"八溝山","日輪寺・八溝山登山口ルート","日輪寺・八溝山登山口","八溝山","70","推定CT（固定座標・標高差＋確認済みCT回帰）"
"筑波山","つつじヶ丘ルート","つつじヶ丘","筑波山（女体山）","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三本槍岳","峠の茶屋・那須岳登山口ルート","峠の茶屋・那須岳登山口","三本槍岳","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三本槍岳","那須ロープウェイ・峠の茶屋側ルート","那須ロープウェイ・峠の茶屋側","三本槍岳","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"男鹿岳","深山園地・塩那道路ゲートルート","深山園地・塩那道路ゲート","男鹿岳","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"景鶴山","鳩待峠（尾瀬側起点）ルート","鳩待峠（尾瀬側起点）","景鶴山","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"釈迦ヶ岳（栃木）","八方ヶ原・大間々台登山口ルート","八方ヶ原・大間々台登山口","高原山・釈迦ヶ岳","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"女峰山","滝尾神社登山口ルート","滝尾神社登山口","女峰山","450","推定CT（固定座標・標高差＋確認済みCT回帰）"
"奥白根山","丸沼高原・日光白根山ロープウェイルート","丸沼高原・日光白根山ロープウェイ","奥白根山（日光白根山）","300","推定CT（固定座標・標高差＋確認済みCT回帰）"
"皇海山","銀山平・皇海山登山者駐車場ルート","銀山平・皇海山登山者駐車場","皇海山","390","推定CT（固定座標・標高差＋確認済みCT回帰）"
"袈裟丸山","折場登山口ルート","折場登山口","袈裟丸山","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"草津白根山","白根火山・湯釜側起点ルート","白根火山・湯釜側起点","草津白根山（白根山）","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"妙義山（相馬岳）","妙義神社入口・登山者駐車場ルート","妙義神社入口・登山者駐車場","妙義山（相馬岳）","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","楢原・樽原登山口ルート","楢原・樽原登山口","諏訪山（上野村）","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","浜平登山口ルート","浜平登山口","諏訪山（上野村）","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"朝日岳（群馬）","湯檜曽公園・白毛門登山口側ルート","湯檜曽公園・白毛門登山口側","朝日岳（群馬）","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"谷川岳","天神平ルート","天神平","谷川岳（オキノ耳）","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"仙ノ倉山","平標登山口・元橋駐車場ルート","平標登山口・元橋駐車場","仙ノ倉山","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"白砂山","野反湖・白砂山登山口ルート","野反湖・白砂山登山口","白砂山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"横手山","渋峠ルート","渋峠","横手山","50","推定CT（固定座標・標高差＋確認済みCT回帰）"
"岩菅山","聖平登山口ルート","聖平登山口","岩菅山","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笠ヶ岳（長野）","笠岳峠・笠ヶ岳登山口ルート","笠岳峠・笠ヶ岳登山口","笠ヶ岳（長野）","40","推定CT（固定座標・標高差＋確認済みCT回帰）"
"浅間山","高峰高原・車坂峠ルート","高峰高原・車坂峠","浅間山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"御座山","長者の森登山口ルート","長者の森登山口","御座山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"御座山","栗生登山口ルート","栗生登山口","御座山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"八ヶ岳（赤岳）","美濃戸口ルート","美濃戸口","赤岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"美ヶ原","三城いこいの広場ルート","三城いこいの広場","美ヶ原（王ヶ頭）","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒姫山","大橋林道口・黒姫山登山口ルート","大橋林道口・黒姫山登山口","黒姫山","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原ビジターセンター（山の家）ルート","斑尾高原ビジターセンター（山の家）","斑尾山","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原スキー場ルート","斑尾高原スキー場","斑尾山","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","焼山林道第2ゲート（焼山ルート起点）ルート","焼山林道第2ゲート（焼山ルート起点）","新潟焼山","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","金山登山口（小谷側）ルート","金山登山口（小谷側）","新潟焼山","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"青海黒姫山","清水倉登山口ルート","清水倉登山口","青海黒姫山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"朝日岳（新潟・富山）","蓮華温泉ルート","蓮華温泉","朝日岳（新潟・富山）","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"雪倉岳","蓮華温泉ルート","蓮華温泉","雪倉岳","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"爺ヶ岳","扇沢登山口ルート","扇沢登山口","爺ヶ岳","300","推定CT（固定座標・標高差＋確認済みCT回帰）"
"針ノ木岳","扇沢登山口ルート","扇沢登山口","針ノ木岳","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"毛勝山","片貝登山口（東又第五発電所登山口）ルート","片貝登山口（東又第五発電所登山口）","毛勝山","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"奥大日岳","室堂ルート","室堂","奥大日岳","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鍬崎山","あわすのスキー場・鍬崎山登山口ルート","あわすのスキー場・鍬崎山登山口","鍬崎山","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"烏帽子岳","高瀬ダムルート","高瀬ダム","烏帽子岳","300","推定CT（固定座標・標高差＋確認済みCT回帰）"
"水晶岳（黒岳）","折立登山口ルート","折立登山口","水晶岳（黒岳）","590","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鷲羽岳","折立登山口ルート","折立登山口","鷲羽岳","620","推定CT（固定座標・標高差＋確認済みCT回帰）"
"赤牛岳","折立登山口ルート","折立登山口","赤牛岳","530","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笠ヶ岳（岐阜）","新穂高温泉ルート","新穂高温泉","笠ヶ岳（岐阜）","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笠ヶ岳（岐阜）","笠新道登山口ルート","笠新道登山口","笠ヶ岳（岐阜）","320","推定CT（固定座標・標高差＋確認済みCT回帰）"
"餓鬼岳","中房登山口ルート","中房登山口","餓鬼岳","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"有明山","中房登山口ルート","中房登山口","有明山","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大天井岳","中房登山口（燕岳・大天井岳 表銀座ルート）ルート","中房登山口（燕岳・大天井岳 表銀座ルート）","大天井岳","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼岳","新中の湯登山口ルート","新中の湯登山口","焼岳","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"霞沢岳","上高地ルート","上高地","霞沢岳","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鉢盛山","鉢盛坂新道口ルート","鉢盛坂新道口","鉢盛山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"乗鞍岳","畳平バスターミナルルート","畳平バスターミナル","乗鞍岳","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"乗鞍岳","乗鞍高原観光センター・シャトルバス乗り場ルート","乗鞍高原観光センター・シャトルバス乗り場","乗鞍岳","410","推定CT（固定座標・標高差＋確認済みCT回帰）"
"御嶽","中の湯登山口（黒沢口）ルート","中の湯登山口（黒沢口）","御嶽山（剣ヶ峰）","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"南駒ヶ岳","伊奈川ダム上登山口ルート","伊奈川ダム上登山口","南駒ヶ岳","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"越百山","伊奈川ダム上登山口ルート","伊奈川ダム上登山口","越百山","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","摺古木自然園入口ルート","摺古木自然園入口","安平路山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","大平宿（林道規制時起点）ルート","大平宿（林道規制時起点）","安平路山","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"南木曽岳","蘭登山口ルート","蘭登山口","南木曽岳","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和名倉山（白石山）","三ノ瀬（民宿みはらし）ルート","三ノ瀬（民宿みはらし）","和名倉山（白石山）","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大岳山","白倉・大嶽神社里宮登山口ルート","白倉・大嶽神社里宮登山口","大岳山","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三頭山","山のふるさと村登山口ルート","山のふるさと村登山口","三頭山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"箱根山","大涌谷登山口ルート","大涌谷登山口","箱根山","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"天城山（万三郎岳）","天城高原ハイカー専用駐車場ルート","天城高原ハイカー専用駐車場","天城山（万三郎岳）","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"毛無山","麓・毛無山登山口ルート","麓・毛無山登山口","毛無山","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"七面山","羽衣・七面山表参道駐車場ルート","羽衣・七面山表参道駐車場","七面山","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"櫛形山","池ノ茶屋登山口ルート","池ノ茶屋登山口","櫛形山","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三ッ峠山","西桂口ルート","西桂口","三ッ峠山","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒岳","新御坂トンネル御坂口駐車場（御坂黒岳ルート）ルート","新御坂トンネル御坂口駐車場（御坂黒岳ルート）","黒岳（御坂黒岳）","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"富士山","富士スバルライン五合目（吉田口）ルート","富士スバルライン五合目（吉田口）","富士山（剣ヶ峰）","320","推定CT（固定座標・標高差＋確認済みCT回帰）"
"富士山","須走口五合目ルート","須走口五合目","富士山（剣ヶ峰）","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鋸岳","北沢峠ルート","北沢峠","鋸岳","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"アサヨ峰","北沢峠ルート","北沢峠","アサヨ峰","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"聖岳","椹島ルート","椹島","聖岳","390","推定CT（固定座標・標高差＋確認済みCT回帰）"
"上河内岳","沼平ゲートルート","沼平ゲート","上河内岳","510","推定CT（固定座標・標高差＋確認済みCT回帰）"
"茶臼岳","沼平ゲートルート","沼平ゲート","茶臼岳","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"光岳","沼平ゲートルート","沼平ゲート","光岳","510","推定CT（固定座標・標高差＋確認済みCT回帰）"
"池口岳","池口林道口・池口岳登山口ルート","池口林道口・池口岳登山口","池口岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"奥茶臼山","しらびそ峠・奥茶臼山登山口ルート","しらびそ峠・奥茶臼山登山口","奥茶臼山","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大無間山","田代・大無間山登山口ルート","田代・大無間山登山口","大無間山","420","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒法師岳","戸中山林道ゲートルート","戸中山林道ゲート","黒法師岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笊ヶ岳","老平・笊ヶ岳登山口ルート","老平・笊ヶ岳登山口","笊ヶ岳","470","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高塚山","山犬段・高塚山登山口ルート","山犬段・高塚山登山口","高塚山","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"熊伏山","青崩峠入口・熊伏山登山口ルート","青崩峠入口・熊伏山登山口","熊伏山","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"医王山","医王の里登山者用駐車場ルート","医王の里登山者用駐車場","医王山（奥医王山）","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","桂湖森林公園駐車場（大笠山ルート起点）ルート","桂湖森林公園駐車場（大笠山ルート起点）","大笠山","300","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","ブナオ峠（大笠山ルート）ルート","ブナオ峠（大笠山ルート）","大笠山","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート","中宮温泉ビジターセンター（笈ヶ岳ルート起点）","笈ヶ岳","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三方岩岳","三方岩駐車場ルート","三方岩駐車場","三方岩岳","70","推定CT（固定座標・標高差＋確認済みCT回帰）"
"猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）","猿ヶ馬場山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"白山","市ノ瀬ルート","市ノ瀬","白山（御前峰）","480","推定CT（固定座標・標高差＋確認済みCT回帰）"
"野伏ヶ岳","白山中居神社（野伏ヶ岳残雪期ルート起点）ルート","白山中居神社（野伏ヶ岳残雪期ルート起点）","野伏ヶ岳","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"伊吹山","伊吹山 上野登山口（三之宮神社）ルート","伊吹山 上野登山口（三之宮神社）","伊吹山","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"伊吹山","伊吹山ドライブウェイ山頂駐車場ルート","伊吹山ドライブウェイ山頂駐車場","伊吹山","40","推定CT（固定座標・標高差＋確認済みCT回帰）"
"藤原岳","大貝戸登山口 藤原岳ルート","大貝戸登山口 藤原岳","藤原岳","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"藤原岳","孫太尾根登山口ルート","孫太尾根登山口","藤原岳","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"御在所岳","中登山道口 御在所岳ルート","中登山道口 御在所岳","御在所岳","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"御在所岳","武平峠登山口ルート","武平峠登山口","御在所岳","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"倶留尊山","曽爾高原 倶留尊山登山口ルート","曽爾高原 倶留尊山登山口","倶留尊山","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三峰山","みつえ青少年旅行村 三峰山登山口ルート","みつえ青少年旅行村 三峰山登山口","三峰山","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"日出ヶ岳","大台ヶ原ビジターセンタールート","大台ヶ原ビジターセンター","日出ヶ岳","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"竜門岳","竜門岳登山口 吉野ルート","竜門岳登山口 吉野","竜門岳","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"山上ヶ岳","清浄大橋 大峯山登山口ルート","清浄大橋 大峯山登山口","山上ヶ岳","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"釈迦ヶ岳（奈良）","太尾登山口 釈迦ヶ岳 奈良ルート","太尾登山口 釈迦ヶ岳 奈良","釈迦ヶ岳（奈良）","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"伯母子岳","大股登山口 伯母子岳ルート","大股登山口 伯母子岳","伯母子岳","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"護摩壇山","護摩壇山森林公園ワイルドライフルート","護摩壇山森林公園ワイルドライフ","護摩壇山","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"金剛山","千早本道登山口ルート","千早本道登山口","金剛山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"金剛山","水越峠 金剛山ルート","水越峠 金剛山","金剛山","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"武奈ヶ岳","イン谷口ルート","イン谷口","武奈ヶ岳","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"蓬来山","びわ湖バレイ山頂駅ルート","びわ湖バレイ山頂駅","蓬来山","50","推定CT（固定座標・標高差＋確認済みCT回帰）"
"蓬来山","蓬莱駅 登山口ルート","蓬莱駅 登山口","蓬来山","270","推定CT（固定座標・標高差＋確認済みCT回帰）"
"比叡山","坂本ケーブル延暦寺駅ルート","坂本ケーブル延暦寺駅","比叡山（大比叡）","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"比叡山","雲母坂登山口（修学院）ルート","雲母坂登山口（修学院）","比叡山（大比叡）","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"愛宕山","清滝 愛宕山登山口ルート","清滝 愛宕山登山口","愛宕山","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"六甲山","芦屋川 高座の滝ルート","芦屋川 高座の滝","六甲山","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"六甲山","有馬温泉 六甲山登山口ルート","有馬温泉 六甲山登山口","六甲山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"扇ノ山","河合谷高原 扇ノ山登山口ルート","河合谷高原 扇ノ山登山口","扇ノ山","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"扇ノ山","姫路公園登山口ルート","姫路公園登山口","扇ノ山","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"氷ノ山","わかさ氷ノ山登山口ルート","わかさ氷ノ山登山口","氷ノ山","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"那岐山","蛇淵の滝 那岐山登山口ルート","蛇淵の滝 那岐山登山口","那岐山","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大山（鳥取）","博労座ルート","博労座","大山（弥山）","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"道後山","月見ヶ丘登山口駐車場 道後山ルート","月見ヶ丘登山口駐車場 道後山","道後山","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"吾妻山","吾妻山キャンプ場駐車場ルート","吾妻山キャンプ場駐車場","吾妻山","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三瓶山","西の原登山口ルート","西の原登山口","三瓶山（男三瓶山）","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三嶺","光石登山口ルート","光石登山口","三嶺","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"東赤石山","瀬場登山口 東赤石山ルート","瀬場登山口 東赤石山","東赤石山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笹ヶ峰","下津池 笹ヶ峰登山口ルート","下津池 笹ヶ峰登山口","笹ヶ峰","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"伊予富士","寒風山登山口ルート","寒風山登山口","伊予富士","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三本杭","万年橋 滑床渓谷 三本杭登山口ルート","万年橋 滑床渓谷 三本杭登山口","三本杭","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"篠山","篠山登山口 愛媛高知ルート","篠山登山口 愛媛高知","篠山","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"英彦山","別所駐車場・英彦山登山口ルート","別所駐車場・英彦山登山口","英彦山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"英彦山","豊前坊・高住神社登山口ルート","豊前坊・高住神社登山口","英彦山","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"脊振山","脊振山山頂駐車場ルート","脊振山山頂駐車場","脊振山","30","推定CT（固定座標・標高差＋確認済みCT回帰）"
"脊振山","椎原峠登山口ルート","椎原峠登山口","脊振山","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"多良岳","黒木第2駐車場・黒木登山口ルート","黒木第2駐車場・黒木登山口","多良岳","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"多良岳","中山キャンプ場（中山登山口）ルート","中山キャンプ場（中山登山口）","多良岳","100","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鶴見岳","火男火売神社登山口駐車場ルート","火男火売神社登山口駐車場","鶴見岳","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鶴見岳","別府ロープウェイ 鶴見山上駅ルート","別府ロープウェイ 鶴見山上駅","鶴見岳","30","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大船山","男池駐車場・男池登山口ルート","男池駐車場・男池登山口","大船山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大船山","吉部（坊ガツル）登山口駐車場ルート","吉部（坊ガツル）登山口駐車場","大船山","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"湧蓋山","八丁原登山口ルート","八丁原登山口","涌蓋山","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"阿蘇山（高岳）","仙酔峡駐車場・仙酔峡登山口ルート","仙酔峡駐車場・仙酔峡登山口","阿蘇山（高岳）","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"祖母山","神原登山口ルート","神原登山口","祖母山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
